answer_number,question_title,author_name,answer_url,created_time,introduction,regional,comment,comment_number
1,"As a doctor who retired early or changed careers due to burnout, was there any single defining moment that prompted you to quit?",Mark-Clemons-3,https://www.quora.com/As-a-doctor-who-retired-early-or-changed-careers-due-to-burnout-was-there-any-single-defining-moment-that-prompted-you-to-quit,"#488254607August 21, 2018 at 10:33:51 AM","Works at Retirement   ;Studied at Emory University   ;Lives in Memphis, TN   ;2.3M content views67.8K this month   ;Active in 1 Space   ;Joined December 2015",America,"My wife said, “you are working too hard, you are miserable, You are never home and you aren’t really making much money for your effort, but you have significant risk.” I closed one office 2 months later and the second one 4 months after that.",1
1,"As a doctor who retired early or changed careers due to burnout, was there any single defining moment that prompted you to quit?",Mark-Clemons-3,https://www.quora.com/As-a-doctor-who-retired-early-or-changed-careers-due-to-burnout-was-there-any-single-defining-moment-that-prompted-you-to-quit,"#488254607August 21, 2018 at 10:33:51 AM","Works at Retirement   ;Studied at Emory University   ;Lives in Memphis, TN   ;2.3M content views67.8K this month   ;Active in 1 Space   ;Joined December 2015",America, No one has awakened me in the middle of the night since.,2
2,"As a doctor who retired early or changed careers due to burnout, was there any single defining moment that prompted you to quit?",James-Krug,https://www.quora.com/As-a-doctor-who-retired-early-or-changed-careers-due-to-burnout-was-there-any-single-defining-moment-that-prompted-you-to-quit,"#487119956August 19, 2018 at 9:18:44 AM",Former Obstetrics & Gynecology1963–2000   ;Studied Medicine (MD)Graduated 1963   ;905.5K content views24.2K this month   ;Joined December 2010,,I retired only a year or two early.,3
2,"As a doctor who retired early or changed careers due to burnout, was there any single defining moment that prompted you to quit?",James-Krug,https://www.quora.com/As-a-doctor-who-retired-early-or-changed-careers-due-to-burnout-was-there-any-single-defining-moment-that-prompted-you-to-quit,"#487119956August 19, 2018 at 9:18:44 AM",Former Obstetrics & Gynecology1963–2000   ;Studied Medicine (MD)Graduated 1963   ;905.5K content views24.2K this month   ;Joined December 2010,, My main reason as a solo practitioner OB/GYN was the long hours.,4
2,"As a doctor who retired early or changed careers due to burnout, was there any single defining moment that prompted you to quit?",James-Krug,https://www.quora.com/As-a-doctor-who-retired-early-or-changed-careers-due-to-burnout-was-there-any-single-defining-moment-that-prompted-you-to-quit,"#487119956August 19, 2018 at 9:18:44 AM",Former Obstetrics & Gynecology1963–2000   ;Studied Medicine (MD)Graduated 1963   ;905.5K content views24.2K this month   ;Joined December 2010,," Unfortunately, my malpractice insurance premiums (",5
2,"As a doctor who retired early or changed careers due to burnout, was there any single defining moment that prompted you to quit?",James-Krug,https://www.quora.com/As-a-doctor-who-retired-early-or-changed-careers-due-to-burnout-was-there-any-single-defining-moment-that-prompted-you-to-quit,"#487119956August 19, 2018 at 9:18:44 AM",Former Obstetrics & Gynecology1963–2000   ;Studied Medicine (MD)Graduated 1963   ;905.5K content views24.2K this month   ;Joined December 2010,,even after a career with no lawsuits),6
2,"As a doctor who retired early or changed careers due to burnout, was there any single defining moment that prompted you to quit?",James-Krug,https://www.quora.com/As-a-doctor-who-retired-early-or-changed-careers-due-to-burnout-was-there-any-single-defining-moment-that-prompted-you-to-quit,"#487119956August 19, 2018 at 9:18:44 AM",Former Obstetrics & Gynecology1963–2000   ;Studied Medicine (MD)Graduated 1963   ;905.5K content views24.2K this month   ;Joined December 2010,, were too high to support a Gyn only practice.,7
3,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Jessica-Brown-2127,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#1019315624March 17, 2020 at 6:16:34 PM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.5K this month   ;Joined May 2018",America,Burnout is a fallacy created by the medical profession to explain away mental illness and incompetence.,8
3,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Jessica-Brown-2127,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#1019315624March 17, 2020 at 6:16:34 PM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.5K this month   ;Joined May 2018",America, If there was burnout they could find a new job and stop doing so many unnecessary procedures for personal gain.,9
3,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Jessica-Brown-2127,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#1019315624March 17, 2020 at 6:16:34 PM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.5K this month   ;Joined May 2018",America, The truth is that some doctors suffer from mental illness and depression like anyone else and need treatment for their mental disorder or The ability to find a new job,10
