序号,问题,地址,用户名,回答时间,用户介绍,国籍信息,回答内容
1,"As a doctor who retired early or changed careers due to burnout, was there any single defining moment that prompted you to quit?",https://www.quora.com/As-a-doctor-who-retired-early-or-changed-careers-due-to-burnout-was-there-any-single-defining-moment-that-prompted-you-to-quit,Mark-Clemons-3,"#488254607August 21, 2018 at 10:33:51 AM","Works at Retirement   ;Studied at Emory University   ;Lives in Memphis, TN   ;2.3M content views67.8K this month   ;Active in 1 Space   ;Joined December 2015",America,"My wife said, “you are working too hard, you are miserable, You are never home and you aren’t really making much money for your effort, but you have significant risk.” I closed one office 2 months later and the second one 4 months after that. No one has awakened me in the middle of the night since."
2,"As a doctor who retired early or changed careers due to burnout, was there any single defining moment that prompted you to quit?",https://www.quora.com/As-a-doctor-who-retired-early-or-changed-careers-due-to-burnout-was-there-any-single-defining-moment-that-prompted-you-to-quit,James-Krug,"#487119956August 19, 2018 at 9:18:44 AM",Former Obstetrics & Gynecology1963–2000   ;Studied Medicine (MD)Graduated 1963   ;905.5K content views24.2K this month   ;Joined December 2010,,"I retired only a year or two early. My main reason as a solo practitioner OB/GYN was the long hours. Unfortunately, my malpractice insurance premiums (even after a career with no lawsuits) were too high to support a Gyn only practice."
3,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,Jessica-Brown-2127,"#1019315624March 17, 2020 at 6:16:34 PM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.5K this month   ;Joined May 2018",America,Burnout is a fallacy created by the medical profession to explain away mental illness and incompetence. If there was burnout they could find a new job and stop doing so many unnecessary procedures for personal gain. The truth is that some doctors suffer from mental illness and depression like anyone else and need treatment for their mental disorder or The ability to find a new job
4,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,Matt-Moneypenny,"#1084122023May 20, 2020 at 7:13:41 PM","Marketing and Sales Analyst at Etactics2017–present   ;BBA in Marketing Management, University of AkronGraduated 2016   ;Lived in Stow, OH   ;52.2K content views416 this month   ;Joined September 2018",America,"The burnout situatio…
… (view more)"
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,Audrey-Koopmans-Albert,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America,"It depends on how the hospital, home health agency or hospice operate and their patient load. There were times when I had a load of 12 patients (post surgery) to deal with. Then there was the time I worked as intake nurse and night call for hospice. We went from a patient count of 30 to 90. I was going 20 hours a day, getting very little sleep and dealing with really difficult situations. After 8 months of just barely surviving, I had major burnout and ended up in the hospital not knowing whether or not I’d live. That was the most extreme I ever incurred. It was a nightmare, but I survived and a year later I was back in nursing."
6,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,David-Chan-316,"#1046374428April 14, 2020 at 2:44:56 AM","55.2M content views4M this month   ;Top Writer2018, 2017, 2016, 2014 and 2013   ;Published WriterFatherly, Time, HuffPost and 1 more   ;Active in 2 Spaces   ;Joined February 2012",,"The teams of doctors nurses taking care of Covid-19 patients are quite different from those who do all the outpatient and elective hospital work that is done during normal times. So there will not be burnout when elective procedures are again permitted. Right now, my hospital has 70–80 patients with…
(more)"
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Dave-Cunningham-35,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,"On the order of 90% of the problem is in 10% of the nation, and a great many doctors with their own practices are basically not working, the “net burnout” is likely to be small.
The pandemic is currently seeing a great many hospitals which are nearly empty.
Instead of coronavirus patients, Syracuse hospitals swamped with empty beds
Mainly because “elective surgery” usage is basically zero.
Locally, hospitals are reducing hours for nurses. More nurses are idle here than are being “burned out.”
Coronavirus: Volusia/Flagler/St. Johns hospital bed usage is low
Thus, it is highly unlikely that the US will have any nurse shortage due to burnout."
8,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Jill-E-Griffin,"#1044088793April 11, 2020 at 10:46:27 PM","Worked at EMTs and Paramedics   ;Studied at Wake Technical Community College   ;Lives in New Bern, NC2010–present   ;16.9M content views761.4K this month   ;Top Writer2018   ;Active in 12 Spaces   ;Joined July 2015",America,"I think we will loose the older generation of nurses, either to disease or the realization that the job isn’t worth dying for. So many employers are treating their nurses and others as expendable. The lack or proper PPE’s is simply inexcusable. Don’t tell me nobody knew a pandemic was coming. It was so long overdue…. The reason for the shocking lack of PPE’s is simple. Greed. Valuing money over the health and lives of their workers."
9,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Max-Patrick-5,"#1041799696April 10, 2020 at 1:22:58 AM",17.2M content views1.8M this month   ;Active in 11 Spaces   ;Joined December 2014,s,"I had worked with doctors, nurses and allied staff in various hospitals in California and Massachusetts. Its been my experience of seeing these nurses in action as TOTAL heroes. They get assaulted. They get injured. They break bones. Stress is very high from EMERGENCY SERVICES to Surgical Floors and…
(more)"
10,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Larry-Rafey,"#1054406783April 21, 2020 at 11:48:43 PM","B.S. in Microbiology & Infectious Disease & Microbial Genetics, American University   ;2M content views35.4K this month   ;Active in 2 Spaces   ;Joined February 2017",America,"The U.S. only has a Sickcare System so , it won’t recover. It was never ‘recovered’ in the first place."
