用户,id,点赞,时间,内容,label2
____Arrow,1791760164,3,今天 00:07,李医生，医师节快乐，今年执业医师考试延期还没有开考，今年之后我就跟你一样正式成为医生了        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,8月18日 09:58,没次都好想说很多 又好像没必要说了[失望][失望][失望]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,8月18日 09:58,[苦涩][苦涩][苦涩]我好烦啊        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,8月17日 21:00,不知道为啥心情不好就总要来这吐槽[苦涩][苦涩][苦涩] 好烦        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,8月17日 14:37,[苦涩][苦涩][苦涩]我是不是被这个世界抛弃了 哭        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,8月14日 18:05,我没有快乐 我好难 我好烦 真难熬        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,8月13日 10:08,活着好累啊[苦涩][苦涩][苦涩]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,8月11日 13:49,自己过得不好 但就是看不得人间疾苦[失望]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,8月6日 19:46,怎样自杀没痛苦啊[苦涩][苦涩][苦涩][苦涩]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,8月1日 21:21,[失望][失望][失望] 我感觉自己做什么都不成功 应聘被嫌弃年纪大 考公也没考上 我好失败啊        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,7月24日 14:40,[淚][淚][淚] 毕业找不到工作 好心酸        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,7月22日 01:46,[淚][淚][淚] 希望河南快点好起来 看得我一直哭        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,6月22日 22:58,我毕业啦 有点伤感呢        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,5月23日 18:04,我毕业啦 但是找不到工作        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,2,5月23日 18:04,广东出现一例了 变成中高风险地区了[悲傷]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,5月7日 17:37,好难过啊[淚][淚][淚]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,4月29日 01:43,哭 活着好难        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,4月19日 22:07,生活好痛苦啊[悲傷]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,3月15日 00:51,我什么时候才能收割offer啊 [淚]找工作太惨烈了 被拒得内心毫无波澜了[单身狗][单身狗][单身狗]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,3月10日 15:12,毕业论文压的我喘不过气了 天天哭[单身狗][单身狗][单身狗]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,3月7日 22:47,焦虑 好焦虑[淚][淚][淚]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,3月3日 16:08,我是个很失败的人[失望]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,2,3月1日 19:21,做人好难啊[淚][淚][淚]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,2月28日 23:40,有兄弟姐妹多好啊 有什么烦心事都不用一个人扛着 我现在好难过 好想死[单身狗][单身狗][单身狗]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,2月28日 15:08,持续焦虑 我已经有点控制不住情绪了        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,2月28日 15:07,我要去看心理医生了[单身狗]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,2,2月27日 17:54,达叔走了 诶 [淚][淚][淚] 可能上帝想看喜剧吧        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,2月25日 22:24,[淚][淚][淚]活着好累        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,2,2月25日 17:45,越长大朋友越少 想找个说话的都没有[单身狗]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,2月22日 11:25,选错了导师抑郁了3年 我好担心毕业论文啊 [淚][淚][淚][淚][淚]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,2月22日 10:43,2月要结束了 到手的offer飞走了... 难过[失望]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,2月22日 10:42,[淚][淚][淚] 毕业论文搞得我要自杀了 好想跳楼 哭😭        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,2月22日 00:39,熬不下去了[淚][淚][淚]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,2月18日 17:41,快开学啦        ,1
_嘻习欧尼_,5013603483,2,7月23日 01:34,我想考研 然后努力一点去医院上班 负责任的对待以后遇见的每一个病人        ,1
_嘻习欧尼_,5013603483,1,7月23日 01:34,我也想当一个好医生        ,1
_嘻习欧尼_,5013603483,3,3月9日 00:29,希望所有的善意都会变成好运        ,1
_张义青_,3546743134,6,7月29日 17:41,我们河南郑州这次发大水受灾导致很多伤亡，尤其是地铁伤亡惨重。地铁相关负责人希望国家能严惩！现在郑州已经灾后重建了，新乡也开始排水作业了，但是新乡卫辉损失特别惨重。李哥，您还好吗？        ,0
_张义青_,3546743134,1,5月25日 09:58,李医生，我这个月工资又没了，真不知道我以后的路会怎么样，希望经济危机赶紧过去！李医生你还好吗？        ,0
·M宣M·,6487871479,0,8月3日 01:22,疫情又来了，希望不会影响到开学😞        ,0
·六點六點·,6189082222,1,7月23日 17:08,不知道明天和意外哪一个先来 总说要过好当下 不留遗憾 但是李医生 我觉得我的人生就是遗憾堆起来的        ,1
·六點六點·,6189082222,0,7月21日 10:49,李医生 考研hao nan a        ,1
·六點六點·,6189082222,2,7月19日 00:18,李医生 为什么都这么大了 难过起来还只是会哭鼻子啊        ,1
·六點六點·,6189082222,0,7月9日 17:04,李医生，我今天去看了中国医生，感觉哪里都是您的影子。&nbsp;&nbsp;当一件事没有发生在我身上，那就只是一件事，一个声音，一个数字。 我好惭愧。        ,1
·岁落星沉·,5883867439,0,7月18日 21:20,好久没来了，李医生，我马上要高二了，没能留在最好的实验班，挺遗憾的，但是人生总是要有些遗憾的。对了，我选科选的是物化地，有可能以后要学医吧[加油]        ,1
0410麻雀,5174401002,2,8月10日 15:26,熬不下去了，考试都厌倦😩，但也要坚持✊，即使看不到希望。        ,1
0410麻雀,5174401002,2,8月10日 15:26,李医生，保佑我，这个星期考试顺利上岸。        ,1
0410麻雀,5174401002,0,8月3日 10:47,李医生，早安        ,1
0410麻雀,5174401002,1,7月27日 23:57,生活不是什么都新鲜 安稳比什么都难得.        ,1
0410麻雀,5174401002,0,7月27日 23:37,李医生👨‍⚕️，来看看你。        ,1
0410麻雀,5174401002,1,6月30日 23:22,李医生，最近好难过😫，万事俱备，只差一个普通话不能参加考试，感觉自己都要奔溃了。        ,1
0410麻雀,5174401002,0,6月30日 22:57,李医生，我真的太难过了，最近。        ,1
1208号小行星,6531562726,0,8月13日 08:02,今天我们这下雨了        ,1
1208号小行星,6531562726,4,8月13日 08:02,李医生，今天是我做志愿者的第五天，有一个小孩子特别可爱，看到我给她奶奶测过体温后，伸着胳膊嚷嚷着要我给他量体温        ,1
1208号小行星,6531562726,0,8月2日 17:21,那次疫情我还是高三。现在开学就成大二了，时间过得可真快呀        ,1
1208号小行星,6531562726,0,8月2日 17:20,开学不知道会不会延迟        ,1
1208号小行星,6531562726,1,8月2日 17:20,希望很快就又自由了        ,1
1208号小行星,6531562726,0,8月2日 17:20,昨天上午出门的时候看到好多人都带起了口罩，下午我们家附近就开始像之前一样封村        ,1
1208号小行星,6531562726,2,6月14日 15:02,假期结束，回校后就要开始为专升本，加油吧        ,1
1208号小行星,6531562726,0,6月14日 15:01,端午安康        ,1
1208号小行星,6531562726,1,6月14日 15:01,唉，长大了，感觉也不怎么样        ,1
1208号小行星,6531562726,1,6月14日 15:01,端午节最后一天假期了，但是第一天因为包粽子和妈妈吵起来了，        ,1
1208号小行星,6531562726,0,5月25日 12:33,早上接种了第一针，目前情况良好        ,1
1208号小行星,6531562726,1,5月25日 07:34,我有点迷茫，不知道自己想要的是什么        ,1
1208号小行星,6531562726,0,5月25日 07:34,我们学院今天要开始打疫苗了        ,1
1208号小行星,6531562726,0,5月9日 09:34,母亲节到了，希望我家长公主越活越开心，越来越漂亮        ,1
1208号小行星,6531562726,0,5月9日 09:33,今天母亲节。可是我还没有能力去用自己的的钱买一份礼物，好苦恼        ,1
1208号小行星,6531562726,0,5月9日 09:32,我们学校开始新冠疫苗了，但是好多人内心都挺排斥的，弄得我也纠结了        ,1
1208号小行星,6531562726,1,5月6日 19:02,刚刚打电话我爷爷不舒服，希望他快点好，跟以前一样乐呵呵的        ,1
1208号小行星,6531562726,0,5月5日 14:10,不聊了，去学去学，赶车赶车        ,1
1208号小行星,6531562726,0,5月5日 14:07,假期结束了，要回学校了，心情有点糟糕，不想去学校，一点都不想        ,1
1208号小行星,6531562726,0,4月30日 09:02,我好像又遇到爱情了，但这次，我不敢再往前迈了        ,1
1208号小行星,6531562726,0,4月20日 07:41,我们这里昨天天气可好，我还出校玩了，今天早上下雨了        ,1
1208号小行星,6531562726,0,4月20日 07:41,我们那里开始接种疫苗了        ,1
1208号小行星,6531562726,1,4月16日 17:46,我又来了，上次就是回家时候来这里留的言，只有一个愿望，家人健健康康的就行了        ,1
1208号小行星,6531562726,2,4月4日 16:32,今天清明，来看看你        ,1
1208号小行星,6531562726,2,4月2日 18:06,我在等公交，有那么一丝丝想偶遇他        ,1
1208号小行星,6531562726,1,4月2日 17:40,慢慢的，我对他多了几分理解，原来我们从一开始就不适合，遇见他，很开心，也很感谢啦，你在天堂也要开开心心的        ,1
1inJA,6345500653,0,8月15日 03:08,李医生，我果然又生病了，我已经那么努力的走出来了，为什么又把我拉回到过去，这次我不想走出来了，循环往复我已经累了，好累啊，想去见见你        ,0
1inJA,6345500653,0,8月15日 00:32,李医生，其实我很想他，我恨不得他现在分手来找我        ,0
1inJA,6345500653,1,8月14日 03:17,李医生今天是七夕，我喜欢的男孩子可能在陪他女朋友过节日吧，好奇怪我每次谈恋爱好像都在七夕前分手，还没有跟男朋友过过七夕，我好心痛        ,0
1inJA,6345500653,1,7月23日 23:47,李医生最近河南下大雨淹了好多地方，给在郑州的同学发了消息，确认了他们很安全。有好多人遇难了，我微博关注的三个失联人员到现在都还没找到，遇难名单还有一个只有20岁的女孩子，人生才刚刚开始呢，怎么会这样，感觉好无能为力啊[泪]        ,0
1inJA,6345500653,3,7月2日 00:09,李医生建党一百周年的节目叫伟大征程，很盛大，教员出现在大屏的那一刻我有种时间穿梭的感觉，他应该是看得到的吧，袁爷爷也出现在大屏上了，如果他也在就好了，祖国永远伟大！        ,0
1inJA,6345500653,4,6月19日 14:53,李医生给你讲讲最近的好消息吧，我们国家有了自己的国际空间站，我们真的做到了，学校要开始面试助教了，我害怕面试但我想尝试一下，就算没被选上我也不后悔，还有我们下周就放假了，我终于可以回家了！        ,0
1inJA,6345500653,2,5月24日 01:17,李医生你有没有见到袁爷爷啊，很舍不得但是无能为力，希望你们在那边能过得好，很想念你们，我最近过的不好，晚安        ,0
2018遇见时光,3218370053,0,8月9日 17:17,李医生，下个月考试啦，我一直在努力备考，希望顺利通过✅        ,1
2021的小妖怪,7335948866,0,8月18日 23:50,希望自己能真的抓把劲吧，今年下半年再考不进那就完了        ,0
52何学明1314,5239115290,2,8月12日 10:01,叔叔疫情变异了，我们又停学了        ,1
52何学明1314,5239115290,0,6月26日 15:41,唉李叔叔高考失利好难受        ,1
66切99,5635817307,0,8月17日 19:36,考研静不下心咋办&nbsp;&nbsp;李哥&nbsp;&nbsp;可着急 也可害怕        ,1
66切99,5635817307,1,8月7日 10:52,立秋了哥&nbsp;&nbsp;&nbsp;今年备研河南还是难 洪水和疫情把这个假期给毁了        ,1
7ironcan,5585936519,0,7月15日 21:14,好久没来啦 我快考完期末了 肝损伤也好很多了！[失望]        ,1
7ironcan,5585936519,1,3月29日 10:30,早上好        ,1
9__Songs,6342900470,3,8月7日 01:37,立秋了，这个我期盼很久的东京的夏天也结束了。中国乒乓球队从未让人失望过[泪]        ,1
9__Songs,6342900470,1,8月5日 12:13,中午吃了蘑菇和土豆，不太好吃[笑cry]今晚乒乓球女团明晚男团，加油啊🙏🙏        ,1
9__Songs,6342900470,1,8月4日 12:22,最近疫情又好严重。唉        ,1
9__Songs,6342900470,2,7月23日 02:08,今天对世界格外失望，做完学校要求的心理自测量表一点也开心不起来，我好糟糕啊。        ,1
9__Songs,6342900470,3,6月4日 10:15,在听院前教育，讲到你了，一直没有忘记。        ,1
9__Songs,6342900470,0,5月29日 02:07,哎……今天胃突然不舒服，吐到现在……        ,1
9__Songs,6342900470,0,2月11日 20:22,看春晚了李医生[抱一抱]        ,1
ABCD奕,3114056161,1,8月16日 20:32,李医生，我最近好丧啊，感觉压力好大啊，想哭…后天要考科目三了，祝福我吧        ,0
Aglilac,6276870146,0,7月19日 10:59,李老师，我可以！        ,0
AGuaiso,2359440202,1,8月15日 22:44,“你在路上随便碰到的一个路人，都是别人做梦都想见到的人”，日暮星河别在梦里[纸飞机]         ,0
AGuaiso,2359440202,1,8月14日 07:05,[纸飞机]你看星辰大海.英仙座流星雨～眼明手快看直播[炸鸡啤酒]         ,0
AGuaiso,2359440202,1,8月12日 22:15,你看流星雨～         ,0
AGuaiso,2359440202,1,8月9日 13:58,7.30休假回WH拖拖踏踏今日返程～18人的客舱～愿疫情尽快结束[纸飞机]～也想你呀[炸鸡啤酒]         ,0
AGuaiso,2359440202,1,7月31日 14:53,大杯冷萃与跳绳很配[炸鸡啤酒]        ,0
AGuaiso,2359440202,0,7月30日 20:36,梦里见了七年未见老同学～幸福[纸飞机]祝安好[嘻嘻]        ,0
AGuaiso,2359440202,3,7月23日 19:16,[纸飞机]东京奥运开幕了～依然叫2020奥运～这倔强，愿你看见[炸鸡啤酒]        ,0
AGuaiso,2359440202,0,7月21日 22:59,A-O-K～～听听        ,0
AGuaiso,2359440202,0,7月19日 22:29,[纸飞机]加班结束～～虽然相距1400公里，爹妈依然会等我入家门～也是充满爱的一天[嘻嘻]        ,0
AGuaiso,2359440202,1,7月18日 22:34,when you propose to someone in Notting H-ill …It should be to someone who knows what that movie is～～From”The Big Bang Theory”        ,0
AGuaiso,2359440202,0,7月18日 16:13,出轨的出轨、杀子的杀子～加班写完夫亡，原配大战情人的狗血案～～还是相信独立和善良[纸飞机]        ,0
AGuaiso,2359440202,1,7月17日 13:52,午饭有点儿迟～味道真不错[嘻嘻]         ,0
AGuaiso,2359440202,1,7月14日 19:22,早起水管爆掉，上午一不小心泳帽拽掉了一块，下午WeChat无法启动相机…麻烦三连[二哈]吃过早饭出门买配件，顺便游了半小时泳，淘一顶新泳帽，联系师傅修水阀～下午四点半处理好，送走修理师傅，开始处理手机的bug～18点30分处理完[嘻嘻]～～要做生活小能手[纸飞机]        ,0
AGuaiso,2359440202,1,7月14日 07:47,煮早饭时，厨房水管爆掉～请假做个修理工[二哈]        ,0
AGuaiso,2359440202,0,7月11日 21:26,旧年还严重抑郁，如今得时常开导家人朋友[二哈]        ,0
AGuaiso,2359440202,1,7月11日 10:53,认真读完小说集《狂人日记》，小学、中学读鲁迅真是糟蹋了，如今再读：言辞幽默、文字精炼、字字针砭时弊～[嘻嘻]        ,0
AGuaiso,2359440202,0,7月10日 13:48,[纸飞机]两个月来第一个不加班的周六，早起煎猪排、蒸蛋、黑咖啡～游泳课一个半点～十点半买食材，泡好萝卜洗完澡～凡人日子        ,0
AGuaiso,2359440202,0,7月8日 20:49,[纸飞机]收到请回复谢谢[炸鸡啤酒]        ,0
AGuaiso,2359440202,0,7月6日 22:29,游泳第五天[炸鸡啤酒]        ,0
AGuaiso,2359440202,2,7月4日 16:21,八点半至十六点加班[纸飞机]送我一朵小红花        ,0
AGuaiso,2359440202,0,7月3日 22:08,游泳课第三天～[纸飞机]        ,0
AGuaiso,2359440202,0,7月1日 22:35,游泳第一课～没掌握要领[纸飞机]明天继续        ,0
AGuaiso,2359440202,1,7月1日 07:53,注目国旗升起竟然一点儿动容～这就是朴素的爱吧哈哈哈哈哈[嘻嘻]生日快乐        ,0
AGuaiso,2359440202,3,6月30日 21:42,二〇二一六月最后一天～太阳能修理月亮可更换～晚安[嘻嘻]        ,0
AGuaiso,2359440202,1,6月30日 13:20,[纸飞机]太阳能维修        ,0
AGuaiso,2359440202,0,6月28日 18:12,一阵香樟🌲的风扑面，记忆瞬间回到中学那条路[纸飞机]嗅觉是个神奇感官～        ,0
AGuaiso,2359440202,0,6月27日 19:20,[纸飞机]生活是一个试验场，握住独立与快乐的能力，辛苦也值         ,0
AGuaiso,2359440202,0,6月26日 12:07,蒸金鲳、焖土豆[纸飞机]        ,0
AGuaiso,2359440202,0,6月26日 00:08,晚安～[纸飞机]        ,0
AGuaiso,2359440202,1,6月24日 21:39,下班～见红旗与月光，忽想起鲁迅的“影”-影渴望阳光又离不开黑夜！它可以选择月亮～         ,0
AGuaiso,2359440202,0,6月22日 18:38,[纸飞机]炒个快手菜千页豆腐小白菜🥬外加一碗银耳红枣雪梨汤～吃完再加班        ,0
AGuaiso,2359440202,3,6月20日 13:30,结束一周培训，赶车，到站，买一周食材，到家～收拾冰箱[嘻嘻]一人的生活也充实有爱[纸飞机]        ,0
AGuaiso,2359440202,1,6月19日 22:38,[纸飞机]爱自己，做个快乐人～晚安        ,0
AGuaiso,2359440202,0,6月17日 06:27,鸟鸣山更幽～早[纸飞机]         ,0
