序号,用户,id,点赞,时间,内容,label2
1,请将美好撒向我吧,1003878240,1,今天 00:08,李医生啊 我刚刚哭了一场。我非常非常想在老家的爷爷 真的很想。工作太苦了 生活太累了 我真的很想他 很想回到读书 与爷爷一起在老家的日子[泪][泪][泪]        ,
2,请将美好撒向我吧,1003878240,1,5月23日 00:36,李医生啊 我突然好难过啊！！！看着一个个熟悉的人 渐渐离开 真的好难受 心里像空了什么[泪]我没见过他们 可是我又觉得我见过 在课本 在电视 在生活...明明是素未谋面 可就是觉得她们是很重要的人 天真的以为 他们永不会老去；事实是 他们也是凡人 只不过可以比肩神明[泪][泪][泪][泪]真的一直在哭        ,
3,请将美好撒向我吧,1003878240,0,5月9日 00:36,工作真的很难很难 感觉自己要撑不下去了[泪][泪]可是我什么都没有 只能一直一直撑下去啊        ,
4,请将美好撒向我吧,1003878240,0,3月29日 22:42,李医生啊 我的视力下降的越来越快了&nbsp;&nbsp;感觉什么事都在变坏 今早凌晨 在医院哭的稀里哗啦 为什么生活那么难 为什么不能对我好一点        ,
5,殇锝狠深,1011086441,2,8月9日 14:10,李医生，乡村爱情里的大脚婶车祸去世了，再也看不到大脚婶了        ,
6,殇锝狠深,1011086441,0,8月5日 15:52,哎，我真的是岁数大了眼泪多，每当听到国歌我就激动，掉眼泪        ,
7,殇锝狠深,1011086441,4,8月2日 17:54,李医生，今天下午中国赢了4块金牌，好激动，好开心        ,
8,殇锝狠深,1011086441,0,7月24日 17:35,中国队加油，看的好激动，现在是女足，希望女足有好成绩，中国加油        ,
9,殇锝狠深,1011086441,1,7月23日 20:14,好期待中国健儿出场，祝中国健儿一路赢，中国加油        ,
10,殇锝狠深,1011086441,0,7月21日 18:29,河南加油！        ,
11,殇锝狠深,1011086441,0,7月21日 18:28,李医生，我今天被中国力量感动了        ,
12,殇锝狠深,1011086441,0,7月1日 22:22,打完疫苗能吃消炎药吗？将近36个小时        ,
13,殇锝狠深,1011086441,1,7月1日 08:49,今天建党100周年啦        ,
14,殇锝狠深,1011086441,0,6月28日 19:10,好累        ,
15,殇锝狠深,1011086441,0,6月23日 15:23,好久没来啦        ,
