用户,id,点赞,时间,内容,label2
__112,2656008221,2,2020/12/31 11:33,在别人的微博转发里又看到你啦 所以点进来跟你说说话 这一年是真的很难 我年近三十又再次鼓起勇气考研啦 最后一门专业课是真的拿不准 半放弃状态哈哈哈 希望医生可以保佑保佑我 也希望你在那边 好好的❤️        ,0
__楊小姐,2300684897,8,2020/9/8 15:41,李文亮医生 你在哪边还好吗？相信你也会很好的 我准备在职考研了 说来也奇怪 我一个学妇产科的准备报考眼科的研究生 不为别的 可能一开始就热爱吧 最近压力很大 挑战很多 希望我能把你未做完的事业继续做下去 我相信自己        ,0
_Mooooon_,2998465295,1,2020/3/19 1:24,眼科医生。。接诊新冠病人。。。？        ,0
_爱吃水果_,6285029022,1,2020/8/23 1:58,想睡又睡不着真的难受        ,1
_爱吃水果_,6285029022,1,2020/8/23 1:58,熬夜熬了两三年了        ,1
_爱吃水果_,6285029022,1,2020/8/23 1:58,我又失眠了呀        ,1
_爱吃水果_,6285029022,1,2020/8/16 1:21,话说完了，晚安哦        ,1
_爱吃水果_,6285029022,2,2020/8/16 1:20,怎么越长大那些越值得保持的东西都丢的一干二净了呢，我现在感觉我快掉进黑暗的漩涡爬不起来了呢。        ,1
_爱吃水果_,6285029022,5,2020/8/16 1:19,现在老喜欢回忆过去，或许现在的我很讨厌，怎么了呢，慢慢的变成了自己很讨厌的人，没有以前那么洒脱看得开放的开了，现在懂得比以前多知道的也多，有什么用，又做不好，什么都做不好，还不快乐，我现在很羡慕以前不知天高地厚的那个傻姑娘，不管干什么都那么热情开朗活泼，现在真的是个闷葫芦啥也不是        ,1
_爱吃水果_,6285029022,3,2020/8/16 1:13,明年的这个时候就要开始找工作了呀，挺迷茫的，不知道自己能干什么，希望考教资一次过吧，还有英语四级。        ,1
_爱吃水果_,6285029022,2,2020/8/16 1:08,我也不知道怎么了，找不到地方说话，面对熟悉的人又不知道从何说起，反正就是不开心，我也不知道自己为什么不开心，大概是心事太多，积压着久了都找不到语言组织发泄出去了        ,1
