日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-25,'600532,*ST未来,20.42,20.97,19.61,20.6,20.63,-0.21,-1.0179,0.6335,3269134,66408178.0,10538062002.4,10538062002.4
2022-11-24,'600532,*ST未来,20.63,21.0,20.3,20.5,20.5,0.13,0.6341,0.6786,3501960,72462024.0,10646435803.6,10646435803.6
2022-11-23,'600532,*ST未来,20.5,21.3,20.2,20.6,21.03,-0.53,-2.5202,0.6304,3253142,67541451.0,10579347260.0,10579347260.0
2022-11-22,'600532,*ST未来,21.03,22.0,20.76,21.55,21.85,-0.82,-3.7529,0.9321,4810435,101804817.0,10852862091.6,10852862091.6
2022-11-21,'600532,*ST未来,21.85,21.89,20.84,21.0,20.85,1.0,4.7962,1.1445,5906408,127615587.0,11276035982.0,11276035982.0
2022-11-18,'600532,*ST未来,20.85,20.85,19.82,20.17,19.86,0.99,4.9849,0.769,3968707,81758767.0,10759970262.0,10759970262.0
2022-11-17,'600532,*ST未来,19.86,20.2,19.24,20.0,20.25,-0.39,-1.9259,1.4137,7295801,142582845.0,10249065199.2,10249065199.2
2022-11-16,'600532,*ST未来,20.25,21.31,20.25,20.9,21.32,-1.07,-5.0188,1.0307,5319000,109489915.0,10450330830.0,10450330830.0
2022-11-15,'600532,*ST未来,21.32,22.29,21.18,21.18,22.29,-0.97,-4.3517,1.3711,7075626,152405589.0,11002521150.4,11002521150.4
2022-11-14,'600532,*ST未来,22.29,22.29,22.29,22.29,23.46,-1.17,-4.9872,0.3714,1916500,42718785.0,11503104898.8,11503104898.8
2022-11-11,'600532,*ST未来,23.46,24.78,23.46,24.68,24.69,-1.23,-4.9818,0.9084,4687700,111257157.0,12106901791.2,12106901791.2
2022-11-10,'600532,*ST未来,24.69,24.99,23.73,23.73,23.83,0.86,3.6089,1.3063,6741270,165455428.0,12741662626.8,12741662626.8
