»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2022-11-25,'600725,‘∆Œ¨π…∑›,3.41,3.43,3.36,3.41,3.41,0.0,0.0,0.4825,5946530,20199748.0,4202722700.0,4202722700.0
2022-11-24,'600725,‘∆Œ¨π…∑›,3.41,3.45,3.35,3.38,3.38,0.03,0.8876,0.4323,5327470,18195480.0,4202722700.0,4202722700.0
2022-11-23,'600725,‘∆Œ¨π…∑›,3.38,3.4,3.34,3.37,3.37,0.01,0.2967,0.4004,4934440,16638875.0,4165748600.0,4165748600.0
2022-11-22,'600725,‘∆Œ¨π…∑›,3.37,3.46,3.37,3.44,3.45,-0.08,-2.3188,0.4507,5555210,18919226.0,4153423900.0,4153423900.0
2022-11-21,'600725,‘∆Œ¨π…∑›,3.45,3.45,3.32,3.39,3.39,0.06,1.7699,0.4048,4989120,16914663.0,4252021500.0,4252021500.0
2022-11-18,'600725,‘∆Œ¨π…∑›,3.39,3.46,3.39,3.46,3.45,-0.06,-1.7391,0.312,3845400,13185279.0,4178073300.0,4178073300.0
2022-11-17,'600725,‘∆Œ¨π…∑›,3.45,3.49,3.43,3.48,3.48,-0.03,-0.8621,0.3705,4565860,15731091.0,4252021500.0,4252021500.0
2022-11-16,'600725,‘∆Œ¨π…∑›,3.48,3.5,3.43,3.44,3.44,0.04,1.1628,0.3665,4516670,15659423.0,4288995600.0,4288995600.0
2022-11-15,'600725,‘∆Œ¨π…∑›,3.44,3.46,3.41,3.44,3.43,0.01,0.2915,0.3088,3805910,13100563.0,4239696800.0,4239696800.0
2022-11-14,'600725,‘∆Œ¨π…∑›,3.43,3.56,3.42,3.52,3.47,-0.04,-1.1527,0.573,7062400,24548103.0,4227372100.0,4227372100.0
2022-11-11,'600725,‘∆Œ¨π…∑›,3.47,3.53,3.46,3.52,3.46,0.01,0.289,0.4735,5835600,20414859.0,4276670900.0,4276670900.0
2022-11-10,'600725,‘∆Œ¨π…∑›,3.46,3.51,3.39,3.43,3.45,0.01,0.2899,0.4761,5867175,20208481.0,4264346200.0,4264346200.0
2022-11-09,'600725,‘∆Œ¨π…∑›,3.45,3.6,3.39,3.4,3.39,0.06,1.7699,0.7193,8864950,30759205.0,4252021500.0,4252021500.0
2022-11-08,'600725,‘∆Œ¨π…∑›,3.39,3.42,3.37,3.4,3.41,-0.02,-0.5865,0.4128,5087243,17249972.0,4178073300.0,4178073300.0
2022-11-07,'600725,‘∆Œ¨π…∑›,3.41,3.42,3.31,3.31,3.33,0.08,2.4024,0.4935,6081678,20609203.0,4202722700.0,4202722700.0
2022-11-04,'600725,‘∆Œ¨π…∑›,3.33,3.33,3.25,3.27,3.27,0.06,1.8349,0.3784,4663630,15411857.0,4104125100.0,4104125100.0
2022-11-03,'600725,‘∆Œ¨π…∑›,3.27,3.28,3.24,3.24,3.28,-0.01,-0.3049,0.3476,4283901,13958237.0,4030176900.0,4030176900.0
2022-11-02,'600725,‘∆Œ¨π…∑›,3.28,3.28,3.2,3.23,3.23,0.05,1.548,0.4651,5731653,18627696.0,4042501600.0,4042501600.0
2022-11-01,'600725,‘∆Œ¨π…∑›,3.23,3.23,3.15,3.15,3.16,0.07,2.2152,0.4957,6109406,19474512.0,3980878100.0,3980878100.0
2022-10-31,'600725,‘∆Œ¨π…∑›,3.16,3.21,3.1,3.12,3.16,0.0,0.0,0.478,5890976,18642084.0,3894605200.0,3894605200.0
2022-10-28,'600725,‘∆Œ¨π…∑›,3.16,3.3,3.15,3.29,3.29,-0.13,-3.9514,0.6526,8043095,25763179.0,3894605200.0,3894605200.0
2022-10-27,'600725,‘∆Œ¨π…∑›,3.29,3.33,3.22,3.25,3.25,0.04,1.2308,0.5145,6340842,20876181.0,4054826300.0,4054826300.0
2022-10-26,'600725,‘∆Œ¨π…∑›,3.25,3.33,3.24,3.3,3.28,-0.03,-0.9146,0.5513,6794552,22275483.0,4005527500.0,4005527500.0
2022-10-25,'600725,‘∆Œ¨π…∑›,3.28,3.34,3.22,3.31,3.31,-0.03,-0.9063,0.6728,8292110,27117080.0,4042501600.0,4042501600.0
2022-10-24,'600725,‘∆Œ¨π…∑›,3.31,3.44,3.31,3.44,3.41,-0.1,-2.9326,0.5881,7248020,24430263.0,4079475700.0,4079475700.0
2022-10-21,'600725,‘∆Œ¨π…∑›,3.41,3.45,3.39,3.39,3.41,0.0,0.0,0.3489,4300432,14709556.0,4202722700.0,4202722700.0
2022-10-20,'600725,‘∆Œ¨π…∑›,3.41,3.46,3.39,3.43,3.45,-0.04,-1.1594,0.4902,6041149,20656203.0,4202722700.0,4202722700.0
2022-10-19,'600725,‘∆Œ¨π…∑›,3.45,3.53,3.45,3.53,3.5,-0.05,-1.4286,0.4344,5353379,18614296.0,4252021500.0,4252021500.0
2022-10-18,'600725,‘∆Œ¨π…∑›,3.5,3.55,3.49,3.53,3.54,-0.04,-1.1299,0.4056,4999370,17600932.0,4313645000.0,4313645000.0
2022-10-17,'600725,‘∆Œ¨π…∑›,3.54,3.54,3.47,3.54,3.53,0.01,0.2833,0.5327,6565500,23004975.0,4362943800.0,4362943800.0
2022-10-14,'600725,‘∆Œ¨π…∑›,3.53,3.55,3.47,3.48,3.45,0.08,2.3188,0.5464,6734490,23712165.0,4350619100.0,4350619100.0
2022-10-13,'600725,‘∆Œ¨π…∑›,3.45,3.49,3.43,3.47,3.51,-0.06,-1.7094,0.4557,5616330,19428408.0,4252021500.0,4252021500.0
2022-10-12,'600725,‘∆Œ¨π…∑›,3.51,3.51,3.37,3.41,3.43,0.08,2.3324,0.4846,5972890,20507385.0,4325969700.0,4325969700.0
2022-10-11,'600725,‘∆Œ¨π…∑›,3.43,3.45,3.34,3.44,3.41,0.02,0.5865,0.4806,5923300,20120575.0,4227372100.0,4227372100.0
2022-10-10,'600725,‘∆Œ¨π…∑›,3.41,3.55,3.41,3.5,3.47,-0.06,-1.7291,0.5702,7028020,24451292.0,4202722700.0,4202722700.0
2022-09-30,'600725,‘∆Œ¨π…∑›,3.47,3.53,3.43,3.53,3.5,-0.03,-0.8571,0.5932,7311083,25458233.0,4276670900.0,4276670900.0
2022-09-29,'600725,‘∆Œ¨π…∑›,3.5,3.61,3.47,3.54,3.54,-0.04,-1.1299,0.7991,9848400,34783792.0,4313645000.0,4313645000.0
2022-09-28,'600725,‘∆Œ¨π…∑›,3.54,3.68,3.54,3.64,3.63,-0.09,-2.4793,0.6129,7553672,27144738.0,4362943800.0,4362943800.0
2022-09-27,'600725,‘∆Œ¨π…∑›,3.63,3.67,3.53,3.59,3.59,0.04,1.1142,0.7124,8780008,31493473.0,4473866100.0,4473866100.0
2022-09-26,'600725,‘∆Œ¨π…∑›,3.59,3.71,3.58,3.71,3.73,-0.14,-3.7534,0.6078,7491300,27229167.0,4424567300.0,4424567300.0
2022-09-23,'600725,‘∆Œ¨π…∑›,3.73,3.83,3.71,3.8,3.81,-0.08,-2.0997,0.4169,5138270,19301657.0,4597113100.0,4597113100.0
2022-09-22,'600725,‘∆Œ¨π…∑›,3.81,3.83,3.78,3.79,3.81,0.0,0.0,0.3568,4397140,16731290.0,4695710700.0,4695710700.0
2022-09-21,'600725,‘∆Œ¨π…∑›,3.81,3.82,3.66,3.73,3.72,0.09,2.4194,0.5573,6869140,25862412.0,4695710700.0,4695710700.0
2022-09-20,'600725,‘∆Œ¨π…∑›,3.72,3.77,3.63,3.63,3.64,0.08,2.1978,0.5294,6524640,24161256.0,4584788400.0,4584788400.0
2022-09-19,'600725,‘∆Œ¨π…∑›,3.64,3.69,3.6,3.66,3.67,-0.03,-0.8174,0.5738,7071960,25769061.0,4486190800.0,4486190800.0
2022-09-16,'600725,‘∆Œ¨π…∑›,3.67,3.84,3.67,3.82,3.81,-0.14,-3.6745,0.8552,10539510,39521179.0,4523164900.0,4523164900.0
2022-09-15,'600725,‘∆Œ¨π…∑›,3.81,3.93,3.76,3.87,3.86,-0.05,-1.2953,0.6907,8513131,32665789.0,4695710700.0,4695710700.0
2022-09-14,'600725,‘∆Œ¨π…∑›,3.86,3.94,3.81,3.88,3.92,-0.06,-1.5306,0.7024,8657040,33477218.0,4757334200.0,4757334200.0
2022-09-13,'600725,‘∆Œ¨π…∑›,3.92,4.01,3.91,3.99,3.97,-0.05,-1.2594,0.5265,6488674,25595814.0,4831282400.0,4831282400.0
2022-09-09,'600725,‘∆Œ¨π…∑›,3.97,4.03,3.94,4.03,4.0,-0.03,-0.75,0.5258,6480875,25699215.0,4892905900.0,4892905900.0
