хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2022-11-25,'601015,ибнВ╨зц╗,4.98,5.03,4.81,4.85,4.85,0.13,2.6804,1.385,28289202,139989087.0,10171638242.2,10171638242.2
2022-11-24,'601015,ибнВ╨зц╗,4.85,4.86,4.82,4.85,4.83,0.02,0.4141,0.3943,8054222,39023918.0,9906113549.15,9906113549.15
2022-11-23,'601015,ибнВ╨зц╗,4.83,4.87,4.8,4.8,4.83,0.0,0.0,0.3602,7356450,35609945.0,9865263596.37,9865263596.37
2022-11-22,'601015,ибнВ╨зц╗,4.83,4.9,4.82,4.88,4.86,-0.03,-0.6173,0.4221,8620547,41870008.0,9865263596.37,9865263596.37
2022-11-21,'601015,ибнВ╨зц╗,4.86,4.87,4.77,4.83,4.84,0.02,0.4132,0.3935,8037470,38697196.0,9926538525.54,9926538525.54
2022-11-18,'601015,ибнВ╨зц╗,4.84,4.93,4.82,4.92,4.91,-0.07,-1.4257,0.604,12336330,60042757.0,9885688572.76,9885688572.76
2022-11-17,'601015,ибнВ╨зц╗,4.91,4.96,4.87,4.95,4.97,-0.06,-1.2072,0.5516,11266779,55258765.0,10028663407.5,10028663407.5
2022-11-16,'601015,ибнВ╨зц╗,4.97,5.0,4.94,4.95,4.95,0.02,0.404,0.591,12070399,60017566.0,10151213265.8,10151213265.8
2022-11-15,'601015,ибнВ╨зц╗,4.95,4.95,4.85,4.9,4.9,0.05,1.0204,0.5854,11956947,58699476.0,10110363313.0,10110363313.0
2022-11-14,'601015,ибнВ╨зц╗,4.9,5.08,4.88,4.93,4.91,-0.01,-0.2037,0.8936,18251395,90590221.0,10008238431.1,10008238431.1
2022-11-11,'601015,ибнВ╨зц╗,4.91,4.96,4.88,4.91,4.86,0.05,1.0288,0.8923,18225743,89739357.0,10028663407.5,10028663407.5
2022-11-10,'601015,ибнВ╨зц╗,4.86,4.89,4.74,4.8,4.84,0.02,0.4132,0.6666,13615518,65667172.0,9926538525.54,9926538525.54
2022-11-09,'601015,ибнВ╨зц╗,4.84,4.86,4.8,4.83,4.83,0.01,0.207,0.5007,10227666,49407882.0,9885688572.76,9885688572.76
2022-11-08,'601015,ибнВ╨зц╗,4.83,4.9,4.81,4.89,4.87,-0.04,-0.8214,0.5416,11061262,53514359.0,9865263596.37,9865263596.37
2022-11-07,'601015,ибнВ╨зц╗,4.87,4.89,4.74,4.75,4.75,0.12,2.5263,0.8751,17872946,86633563.0,9946963501.93,9946963501.93
2022-11-04,'601015,ибнВ╨зц╗,4.75,4.78,4.66,4.67,4.66,0.09,1.9313,0.7177,14659176,69402043.0,9701863785.25,9701863785.25
2022-11-03,'601015,ибнВ╨зц╗,4.66,4.71,4.64,4.69,4.72,-0.06,-1.2712,0.4595,9384581,43827220.0,9518038997.74,9518038997.74
2022-11-02,'601015,ибнВ╨зц╗,4.72,4.79,4.56,4.57,4.6,0.12,2.6087,0.7286,14880919,69808725.0,9640588856.08,9640588856.08
2022-11-01,'601015,ибнВ╨зц╗,4.6,4.6,4.48,4.5,4.49,0.11,2.4499,0.6256,12777024,58094287.0,9395489139.4,9395489139.4
2022-10-31,'601015,ибнВ╨зц╗,4.49,4.63,4.46,4.55,4.69,-0.2,-4.2644,0.9646,19702312,89105219.0,9170814399.11,9170814399.11
2022-10-28,'601015,ибнВ╨зц╗,4.69,4.93,4.5,4.5,4.94,-0.25,-5.0607,0.9995,20415549,96223821.0,9579313926.91,9579313926.91
2022-10-27,'601015,ибнВ╨зц╗,4.94,4.98,4.9,4.93,4.92,0.02,0.4065,0.4673,9544723,47224590.0,10089938336.7,10089938336.7
2022-10-26,'601015,ибнВ╨зц╗,4.92,4.96,4.89,4.92,4.89,0.03,0.6135,0.4778,9759604,48014763.0,10049088383.9,10049088383.9
2022-10-25,'601015,ибнВ╨зц╗,4.89,4.94,4.79,4.85,4.89,0.0,0.0,0.458,9353657,45406218.0,9987813454.71,9987813454.71
2022-10-24,'601015,ибнВ╨зц╗,4.89,5.01,4.88,4.97,4.95,-0.06,-1.2121,0.5497,11228617,55471191.0,9987813454.71,9987813454.71
2022-10-21,'601015,ибнВ╨зц╗,4.95,5.05,4.95,4.96,5.0,-0.05,-1.0,0.4097,8368478,41728924.0,10110363313.0,10110363313.0
2022-10-20,'601015,ибнВ╨зц╗,5.0,5.06,4.95,5.03,5.03,-0.03,-0.5964,0.6111,12481248,62413123.0,10212488195.0,10212488195.0
2022-10-19,'601015,ибнВ╨зц╗,5.03,5.13,5.03,5.07,5.11,-0.08,-1.5656,0.6384,13039491,66233413.0,10273763124.2,10273763124.2
2022-10-18,'601015,ибнВ╨зц╗,5.11,5.16,5.08,5.14,5.1,0.01,0.1961,0.6353,12975286,66326388.0,10437162935.3,10437162935.3
2022-10-17,'601015,ибнВ╨зц╗,5.1,5.11,4.96,5.03,5.05,0.05,0.9901,0.7531,15382403,77648985.0,10416737958.9,10416737958.9
2022-10-14,'601015,ибнВ╨зц╗,5.05,5.05,4.98,5.0,4.98,0.07,1.4056,0.753,15379643,77358422.0,10314613077.0,10314613077.0
2022-10-13,'601015,ибнВ╨зц╗,4.98,5.01,4.92,4.99,5.03,-0.05,-0.994,0.7138,14578937,72373451.0,10171638242.2,10171638242.2
2022-10-12,'601015,ибнВ╨зц╗,5.03,5.05,4.86,4.92,4.99,0.04,0.8016,0.7496,15311124,75679048.0,10273763124.2,10273763124.2
2022-10-11,'601015,ибнВ╨зц╗,4.99,5.09,4.87,5.06,5.04,-0.05,-0.9921,0.671,13705497,67850811.0,10192063218.6,10192063218.6
2022-10-10,'601015,ибнВ╨зц╗,5.04,5.13,5.01,5.02,4.98,0.06,1.2048,0.9061,18506923,93820701.0,10294188100.6,10294188100.6
2022-09-30,'601015,ибнВ╨зц╗,4.98,5.04,4.94,4.99,5.0,-0.02,-0.4,0.5429,11088476,55461615.0,10171638242.2,10171638242.2
2022-09-29,'601015,ибнВ╨зц╗,5.0,5.1,4.97,5.03,4.98,0.02,0.4016,0.8452,17262407,87060628.0,10212488195.0,10212488195.0
2022-09-28,'601015,ибнВ╨зц╗,4.98,5.14,4.97,5.08,5.09,-0.11,-2.1611,0.7757,15844661,79968269.0,10171638242.2,10171638242.2
2022-09-27,'601015,ибнВ╨зц╗,5.09,5.14,4.95,5.07,5.07,0.02,0.3945,1.0321,21080713,105666402.0,10396312982.5,10396312982.5
2022-09-26,'601015,ибнВ╨зц╗,5.07,5.31,5.03,5.28,5.37,-0.3,-5.5866,1.4884,30401504,156452117.0,10355463029.7,10355463029.7
2022-09-23,'601015,ибнВ╨зц╗,5.37,5.55,5.34,5.53,5.53,-0.16,-2.8933,1.019,20813398,112806113.0,10968212321.4,10968212321.4
2022-09-22,'601015,ибнВ╨зц╗,5.53,5.58,5.43,5.45,5.49,0.04,0.7286,0.9696,19803678,109644094.0,11295011943.7,11295011943.7
2022-09-21,'601015,ибнВ╨зц╗,5.49,5.52,5.36,5.42,5.44,0.05,0.9191,1.032,21077673,115059988.0,11213312038.1,11213312038.1
2022-09-20,'601015,ибнВ╨зц╗,5.44,5.49,5.32,5.34,5.31,0.13,2.4482,1.2375,25276911,137296210.0,11111187156.2,11111187156.2
2022-09-19,'601015,ибнВ╨зц╗,5.31,5.51,5.26,5.4,5.51,-0.2,-3.6298,1.5731,32130068,172326743.0,10845662463.1,10845662463.1
2022-09-16,'601015,ибнВ╨зц╗,5.51,5.83,5.45,5.62,5.53,-0.02,-0.3617,2.362,48243598,271632342.0,11254161990.9,11254161990.9
2022-09-15,'601015,ибнВ╨зц╗,5.53,5.75,5.45,5.63,5.59,-0.06,-1.0733,1.4511,29637816,165951551.0,11295011943.7,11295011943.7
2022-09-14,'601015,ибнВ╨зц╗,5.59,5.69,5.57,5.61,5.7,-0.11,-1.9298,0.9271,18936584,106363764.0,11417561802.0,11417561802.0
2022-09-13,'601015,ибнВ╨зц╗,5.7,5.78,5.64,5.74,5.76,-0.06,-1.0417,1.0674,21801069,124122646.0,11642236542.3,11642236542.3
2022-09-09,'601015,ибнВ╨зц╗,5.76,5.84,5.64,5.73,5.73,0.03,0.5236,1.2673,25884719,148280596.0,11764786400.6,11764786400.6
2022-09-08,'601015,ибнВ╨зц╗,5.73,5.83,5.66,5.75,5.79,-0.06,-1.0363,1.5109,30860703,177413963.0,11703511471.5,11703511471.5
2022-09-07,'601015,ибнВ╨зц╗,5.79,5.92,5.57,5.61,5.64,0.15,2.6596,2.5403,51885002,298752483.0,11826061329.8,11826061329.8
2022-09-06,'601015,ибнВ╨зц╗,5.64,5.66,5.5,5.54,5.54,0.1,1.8051,1.5772,32213981,180307745.0,11519686684.0,11519686684.0
2022-09-05,'601015,ибнВ╨зц╗,5.54,5.57,5.43,5.43,5.41,0.13,2.403,1.2286,25093895,138564962.0,11315436920.1,11315436920.1
2022-09-02,'601015,ибнВ╨зц╗,5.41,5.46,5.36,5.41,5.41,0.0,0.0,0.706,14419779,77892499.0,11049912227.0,11049912227.0
2022-09-01,'601015,ибнВ╨зц╗,5.41,5.54,5.35,5.36,5.35,0.06,1.1215,1.2475,25479144,138903365.0,11049912227.0,11049912227.0
2022-08-31,'601015,ибнВ╨зц╗,5.35,5.52,5.34,5.46,5.53,-0.18,-3.255,1.3805,28197213,152156572.0,10927362368.6,10927362368.6
2022-08-30,'601015,ибнВ╨зц╗,5.53,5.68,5.49,5.68,5.71,-0.18,-3.1524,1.711,34947161,194031665.0,11295011943.7,11295011943.7
