ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2022-11-25,'000552,¾¸Ô¶Ãºµç,3.41,3.44,3.34,3.37,3.37,0.04,1.1869,1.772,44382538,150947963.68,8551681626.84,8540668049.76
2022-11-24,'000552,¾¸Ô¶Ãºµç,3.37,3.37,3.3,3.32,3.31,0.06,1.8127,1.2151,30434220,101701700.96,8451368645.88,8440484260.32
2022-11-23,'000552,¾¸Ô¶Ãºµç,3.31,3.32,3.27,3.28,3.28,0.03,0.9146,0.839,21014520,69373498.42,8300899174.44,8290208576.16
2022-11-22,'000552,¾¸Ô¶Ãºµç,3.28,3.32,3.27,3.31,3.27,0.01,0.3058,0.8882,22246932,73277203.92,8225664438.72,8215070734.08
2022-11-21,'000552,¾¸Ô¶Ãºµç,3.27,3.28,3.23,3.28,3.3,-0.03,-0.9091,0.9348,23414106,76218110.62,8200586193.48,8190024786.72
2022-11-18,'000552,¾¸Ô¶Ãºµç,3.3,3.35,3.3,3.34,3.33,-0.03,-0.9009,1.0252,25678229,85202068.28,8275820929.2,8265162628.8
2022-11-17,'000552,¾¸Ô¶Ãºµç,3.33,3.38,3.3,3.37,3.38,-0.05,-1.4793,1.3629,34136032,113820392.54,8351055664.92,8340300470.88
2022-11-16,'000552,¾¸Ô¶Ãºµç,3.38,3.41,3.37,3.39,3.38,0.0,0.0,0.8898,22287089,75436163.89,8476446891.12,8465530207.68
2022-11-15,'000552,¾¸Ô¶Ãºµç,3.38,3.39,3.34,3.36,3.37,0.01,0.2967,0.9672,24223804,81707143.52,8476446891.12,8465530207.68
2022-11-14,'000552,¾¸Ô¶Ãºµç,3.37,3.45,3.36,3.4,3.39,-0.02,-0.59,1.6854,42212766,143816079.42,8451368645.88,8440484260.32
2022-11-11,'000552,¾¸Ô¶Ãºµç,3.39,3.42,3.35,3.4,3.34,0.05,1.497,1.9468,48759629,165034723.4,8501525136.36,8490576155.04
2022-11-10,'000552,¾¸Ô¶Ãºµç,3.34,3.34,3.26,3.29,3.31,0.03,0.9063,1.4959,37465300,123949076.66,8376133910.16,8365346418.24
2022-11-09,'000552,¾¸Ô¶Ãºµç,3.31,3.33,3.29,3.31,3.3,0.01,0.303,1.0227,25613935,84752854.5,8300899174.44,8290208576.16
2022-11-08,'000552,¾¸Ô¶Ãºµç,3.3,3.34,3.28,3.33,3.32,-0.02,-0.6024,1.248,31258027,103437538.44,8275820929.2,8265162628.8
2022-11-07,'000552,¾¸Ô¶Ãºµç,3.32,3.34,3.26,3.28,3.27,0.05,1.5291,1.7202,43083477,142455986.5,8325977419.68,8315254523.52
2022-11-04,'000552,¾¸Ô¶Ãºµç,3.27,3.29,3.19,3.2,3.2,0.07,2.1875,1.3614,34098723,111033822.11,8200586193.48,8190024786.72
2022-11-03,'000552,¾¸Ô¶Ãºµç,3.2,3.23,3.19,3.21,3.24,-0.04,-1.2346,0.8784,22000450,70526463.0,8025038476.8,8014703155.2
2022-11-02,'000552,¾¸Ô¶Ãºµç,3.24,3.25,3.17,3.2,3.2,0.04,1.25,1.3038,32655961,105042141.25,8125351457.76,8114886944.64
2022-11-01,'000552,¾¸Ô¶Ãºµç,3.2,3.21,3.12,3.14,3.15,0.05,1.5873,1.6125,40385692,127629278.28,8025038476.8,8014703155.2
2022-10-31,'000552,¾¸Ô¶Ãºµç,3.15,3.23,3.12,3.18,3.28,-0.13,-3.9634,2.2874,57289124,181134311.56,7899647250.6,7889473418.4
2022-10-28,'000552,¾¸Ô¶Ãºµç,3.28,3.38,3.26,3.35,3.36,-0.08,-2.381,1.5903,39830566,132385793.21,8225664438.72,8215070734.08
2022-10-27,'000552,¾¸Ô¶Ãºµç,3.36,3.4,3.34,3.35,3.35,0.01,0.2985,1.1841,29658044,100044381.04,8426290400.64,8415438312.96
2022-10-26,'000552,¾¸Ô¶Ãºµç,3.35,3.39,3.33,3.36,3.36,-0.01,-0.2976,1.2062,30211251,101476900.44,8401212155.4,8390392365.6
2022-10-25,'000552,¾¸Ô¶Ãºµç,3.36,3.41,3.29,3.37,3.39,-0.03,-0.885,1.3758,34457313,115087393.36,8426290400.64,8415438312.96
